feature,mutual_information_nats,support,permutation_p,bh_q
CT__UPDATE_NODE_PARAMETER_METHOD,4.719099623740064e-06,61,1.0,1.0
CT__UPDATE_NODE_FIELD_CLASS,4.438892215630208e-06,65,1.0,1.0
CT__MOVE_TREE_RETURN_BLOCK,4.311353757072145e-06,67,1.0,1.0
CT__UPDATE_NODE_TYPEREFERENCE_LOCALVARIABLE,3.090575439554377e-06,95,1.0,1.0
CT__UPDATE_NODE_LITERAL_INVOCATION,2.356101556480472e-06,127,1.0,1.0
CT__UPDATE_NODE_VARIABLEREAD_INVOCATION,7.771561172376096e-16,90,1.0,1.0
CT__UPDATE_NODE_TYPEACCESS_INVOCATION,0.0,88,1.0,1.0
CT__UPDATE_NODE_FIELDREAD_INVOCATION,0.0,82,1.0,1.0
CT__UPDATE_NODE_CONSTRUCTORCALL_LOCALVARIABLE,0.0,54,1.0,1.0
CT__UPDATE_NODE_LITERAL_BINARYOPERATOR,0.0,54,1.0,1.0
CT__UPDATE_NODE_TYPEACCESS_FIELDREAD,0.0,40,1.0,1.0
CT__UPDATE_NODE_VARIABLEREAD_BINARYOPERATOR,0.0,38,1.0,1.0
CT__MOVE_TREE_METHOD_CLASS,0.0,36,1.0,1.0
CT__UPDATE_NODE_INVOCATION_UNARYOPERATOR,0.0,36,1.0,1.0
CT__UPDATE_NODE_CONSTRUCTORCALL_ASSIGNMENT,0.0,28,1.0,1.0
CT__UPDATE_NODE_CONSTRUCTORCALL_THROW,0.0,26,1.0,1.0
CT__UPDATE_NODE_FIELDWRITE_ASSIGNMENT,0.0,24,1.0,1.0
CT__UPDATE_NODE_TYPEACCESS_THISACCESS,0.0,24,1.0,1.0
CT__UPDATE_NODE_WRAPPER_METHOD,0.0,24,1.0,1.0
CT__UPDATE_NODE_TYPEREFERENCE_CATCHVARIABLE,0.0,20,1.0,1.0
CT__MOVE_TREE_VARIABLEWRITE_ASSIGNMENT,0.0,16,1.0,1.0
CT__UPDATE_NODE_CONSTRUCTORCALL_RETURN,0.0,16,1.0,1.0
CT__UPDATE_NODE_LITERAL_FIELD,0.0,16,1.0,1.0
CT__INSERT_NODE_UNARYOPERATOR_IF,0.0,12,1.0,1.0
CT__MOVE_TREE_CASE_SWITCH,0.0,10,1.0,1.0
CT__UPDATE_NODE_LITERAL_CONSTRUCTORCALL,0.0,10,1.0,1.0
CT__UPDATE_NODE_LITERAL_RETURN,0.0,10,1.0,1.0
CT__UPDATE_NODE_VARIABLEWRITE_ASSIGNMENT,0.0,10,1.0,1.0
CT__UPDATE_NODE_WRAPPER_ANNOTATION,0.0,10,1.0,1.0
